segment_id,time_bucket,lat_center,lon_center,zone_type,nearest_landmark,dist_to_anchor_km,dist_from_center_km,lighting_score,streetlight_operational_pct,crowd_density,historical_incidents_annual,unsafe_reports_count,risk_score,risk_band,report_id,report_lat,report_lon,report_timestamp,device_hash_sim
BBS-0001,morning,20.22225,85.74225,residential_mixed,Unnamed residential/mixed segment,5.699,11.876,0.288,24.7,0.292,2.0,0,31.4,medium,,,,,
BBS-0001,afternoon,20.22225,85.74225,residential_mixed,Unnamed residential/mixed segment,5.699,11.876,0.288,24.7,0.215,2.0,0,32.5,medium,,,,,
BBS-0001,evening,20.22225,85.74225,residential_mixed,Unnamed residential/mixed segment,5.699,11.876,0.288,24.7,0.379,2.0,0,43.4,high,,,,,
BBS-0001,night,20.22225,85.74225,residential_mixed,Unnamed residential/mixed segment,5.699,11.876,0.288,24.7,0.084,2.0,0,65.4,high,,,,,
BBS-0002,morning,20.22225,85.74675,residential_mixed,Unnamed residential/mixed segment,5.403,11.542,0.192,19.7,0.428,1.0,0,23.0,low,,,,,
BBS-0002,afternoon,20.22225,85.74675,residential_mixed,Unnamed residential/mixed segment,5.403,11.542,0.192,19.7,0.176,1.0,0,29.8,medium,,,,,
BBS-0002,evening,20.22225,85.74675,residential_mixed,Unnamed residential/mixed segment,5.403,11.542,0.192,19.7,0.261,1.0,0,45.6,high,,,,,
BBS-0002,night,20.22225,85.74675,residential_mixed,Unnamed residential/mixed segment,5.403,11.542,0.192,19.7,0.043,1.0,0,66.6,high,,,,,
BBS-0003,morning,20.22225,85.75125,residential_mixed,Unnamed residential/mixed segment,5.134,11.217,0.219,25.4,0.232,4.0,0,42.2,high,,,,,
BBS-0003,afternoon,20.22225,85.75125,residential_mixed,Unnamed residential/mixed segment,5.134,11.217,0.219,25.4,0.107,4.0,0,44.8,high,,,,,
BBS-0003,evening,20.22225,85.75125,residential_mixed,Unnamed residential/mixed segment,5.134,11.217,0.219,25.4,0.333,4.0,1,62.0,high,RPT-00001,20.222509,85.751718,2026-07-29 17:42:00,
BBS-0003,night,20.22225,85.75125,residential_mixed,Unnamed residential/mixed segment,5.134,11.217,0.219,25.4,0.01,4.0,0,79.3,high,,,,,
BBS-0004,morning,20.22225,85.75575,residential_mixed,Unnamed residential/mixed segment,4.894,10.903,0.292,25.4,0.255,5.0,0,45.3,high,,,,,
BBS-0004,afternoon,20.22225,85.75575,residential_mixed,Unnamed residential/mixed segment,4.894,10.903,0.292,25.4,0.129,5.0,0,48.1,high,,,,,
BBS-0004,evening,20.22225,85.75575,residential_mixed,Unnamed residential/mixed segment,4.894,10.903,0.292,25.4,0.292,5.0,2,72.5,high,RPT-00002,20.221606,85.756077,2026-07-21 18:14:00,dev_eb38945291
BBS-0004,evening,20.22225,85.75575,residential_mixed,Unnamed residential/mixed segment,4.894,10.903,0.292,25.4,0.292,5.0,2,72.5,high,RPT-00004,20.221512,85.755483,2026-07-18 17:28:00,dev_76ce9f29a5
BBS-0004,night,20.22225,85.75575,residential_mixed,Unnamed residential/mixed segment,4.894,10.903,0.292,25.4,0.141,5.0,1,82.8,high,RPT-00003,20.222786,85.755786,2026-08-12 03:20:00,
BBS-0005,morning,20.22225,85.76025,residential_mixed,Unnamed residential/mixed segment,4.69,10.6,0.244,23.0,0.383,1.0,1,31.1,medium,RPT-00005,20.222216,85.760773,2026-07-24 10:48:00,
BBS-0005,afternoon,20.22225,85.76025,residential_mixed,Unnamed residential/mixed segment,4.69,10.6,0.244,23.0,0.145,1.0,0,30.7,medium,,,,,
BBS-0005,evening,20.22225,85.76025,residential_mixed,Unnamed residential/mixed segment,4.69,10.6,0.244,23.0,0.306,1.0,1,49.6,high,RPT-00007,20.221972,85.760153,2026-08-09 19:09:00,
BBS-0005,night,20.22225,85.76025,residential_mixed,Unnamed residential/mixed segment,4.69,10.6,0.244,23.0,0.062,1.0,1,70.6,high,RPT-00006,20.222378,85.760382,2026-07-29 02:31:00,dev_352f0483a6
BBS-0006,morning,20.22225,85.76475,residential_mixed,Unnamed residential/mixed segment,4.525,10.309,0.295,31.2,0.193,3.0,0,39.0,medium,,,,,
BBS-0006,afternoon,20.22225,85.76475,residential_mixed,Unnamed residential/mixed segment,4.525,10.309,0.295,31.2,0.167,3.0,0,38.4,medium,,,,,
BBS-0006,evening,20.22225,85.76475,residential_mixed,Unnamed residential/mixed segment,4.525,10.309,0.295,31.2,0.364,3.0,0,48.0,high,,,,,
BBS-0006,night,20.22225,85.76475,residential_mixed,Unnamed residential/mixed segment,4.525,10.309,0.295,31.2,0.076,3.0,0,69.6,high,,,,,
BBS-0007,morning,20.22225,85.76925,residential_mixed,Unnamed residential/mixed segment,4.404,10.032,0.307,35.2,0.38,0.0,0,19.9,low,,,,,
BBS-0007,afternoon,20.22225,85.76925,residential_mixed,Unnamed residential/mixed segment,4.404,10.032,0.307,35.2,0.235,0.0,0,23.3,low,,,,,
BBS-0007,evening,20.22225,85.76925,residential_mixed,Unnamed residential/mixed segment,4.404,10.032,0.307,35.2,0.254,0.0,0,38.7,medium,,,,,
BBS-0007,night,20.22225,85.76925,residential_mixed,Unnamed residential/mixed segment,4.404,10.032,0.307,35.2,0.083,0.0,0,56.2,high,,,,,
BBS-0008,morning,20.22225,85.77375,residential_mixed,Unnamed residential/mixed segment,4.332,9.77,0.22,18.7,0.197,4.0,0,43.4,high,,,,,
